1,삼성전자,"69,050","1,450",+2.14%,100,"4,087,510","5,919,638",50.32,"5,899,711",15.42,9.03,
2,SK하이닉스,"260,250","4,250",+1.66%,"5,000","1,894,626","728,002",55.06,"758,279",6.57,31.06,
3,LG에너지솔루션,"347,000","2,000",-0.57%,500,"811,980","234,000",4.24,"76,449",-82.05,-4.93,
4,삼성바이오로직스,"1,003,000","7,000",+0.70%,"2,500","713,875","71,174",12.81,"29,602",55.52,10.45,
5,한화에어로스페이스,"934,000","18,000",+1.97%,"5,000","481,602","51,563",43.93,"74,346",18.12,53.94,
6,삼성전자우,"56,100",700,+1.26%,100,"457,762","815,975",74.20,"545,130",12.53,N/A,
7,HD현대중공업,"511,000","1,000",+0.20%,"5,000","453,631","88,773",10.91,"91,266",48.57,11.39,
8,현대차,"219,250","1,250",-0.57%,"5,000","448,931","204,758",36.40,"241,115",5.16,12.43,
9,기아,"106,500",0,0.00%,"5,000","419,386","393,789",40.30,"222,551",4.89,19.09,
10,KB금융,"107,900",800,+0.75%,"5,000","411,598","381,462",77.52,"207,165",7.48,8.86,
11,셀트리온,"170,800","1,000",+0.59%,"1,000","394,444","230,939",21.29,"176,250",81.29,2.46,
12,두산에너빌리티,"59,900",300,+0.50%,"5,000","383,696","640,561",23.25,"1,913,804",-358.68,1.52,
13,한화오션,"121,700","5,300",+4.55%,"5,000","372,905","306,413",14.35,"3,263,595",42.93,11.52,
14,NAVER,"225,000","9,500",+4.41%,100,"352,918","156,853",42.22,"1,425,939",18.05,7.90,
15,신한지주,"64,200",200,+0.31%,"5,000","311,688","485,495",59.47,"300,486",7.05,8.11,
16,삼성생명,"150,300","6,500",+4.52%,500,"300,600","200,000",22.18,"197,230",14.18,6.18,
17,현대모비스,"320,500","1,000",-0.31%,"5,000","294,203","91,795",44.06,"86,754",7.15,9.35,
18,HD한국조선해양,"415,250",250,+0.06%,"5,000","293,885","70,773",32.55,"145,907",19.05,11.16,
19,삼성물산,"167,900","1,500",+0.90%,100,"285,391","169,977",27.60,"88,553",14.70,6.83,
20,카카오,"59,400","1,800",-2.94%,100,"262,622","442,125",29.58,"2,615,700",123.49,0.56,
21,한국전력,"36,800",350,+0.96%,"5,000","236,243","641,964",20.70,"821,116",3.73,9.22,
22,하나금융지주,"81,500",200,+0.25%,"5,000","232,050","284,724",66.69,"150,974",6.15,9.11,
23,HMM,"22,450",50,+0.22%,"5,000","230,121","1,025,039",6.40,"425,049",5.08,15.35,
24,메리츠금융지주,"125,800",500,+0.40%,500,"226,458","180,014",15.72,"65,836",10.30,23.44,
25,POSCO홀딩스,"278,250","2,750",-0.98%,"5,000","225,196","80,933",29.78,"108,569",47.11,2.00,
26,현대로템,"195,200","3,200",+1.67%,"5,000","213,046","109,142",31.41,"466,156",35.61,21.85,
27,삼성화재,"457,500","3,500",+0.77%,500,"210,501","46,011",55.85,"25,247",11.68,13.11,
28,SK스퀘어,"143,900","1,100",-0.76%,100,"190,726","132,541",53.30,"90,214",3.39,21.70,
29,LG화학,"266,500","5,000",-1.84%,"5,000","188,129","70,592",32.07,"93,039",-19.82,-2.11,
30,삼성중공업,"21,200",400,+1.92%,"1,000","186,560","880,000",31.92,"3,460,741",65.84,1.77,
31,우리금융지주,"24,550",50,+0.20%,"5,000","182,306","742,592",47.02,"227,724",6.33,9.39,
32,HD현대일렉트릭,"492,000","5,000",+1.03%,"5,000","177,352","36,047",36.32,"43,163",32.68,39.34,
33,고려아연,"829,000","13,000",+1.59%,"5,000","165,993","20,023",11.88,"9,575",42.73,2.28,
34,KT&G,"135,700","1,400",-1.02%,"5,000","165,639","122,062",41.42,"145,806",17.67,12.66,
35,삼성SDI,"201,500","1,500",-0.74%,"5,000","162,380","80,586",26.57,"202,515",-39.85,3.13,
36,크래프톤,"332,000","1,000",+0.30%,100,"157,346","47,393",42.21,"30,109",15.86,21.10,
37,SK이노베이션,"100,500",300,+0.30%,"5,000","151,790","151,035",13.51,"60,715",-5.12,-9.65,
38,기업은행,"18,950",30,+0.16%,"5,000","151,112","797,426",13.76,"241,211",5.66,8.06,
39,SK,"205,000","2,000",-0.97%,200,"148,631","72,503",25.30,"61,028",11.84,-5.64,
40,현대글로비스,"188,700","3,000",+1.62%,500,"141,525","75,000",49.95,"121,476",10.26,13.24,
41,KT,"52,200","1,100",-2.06%,"5,000","131,555","252,022",49.00,"217,588",14.15,2.85,
42,삼성전기,"169,100","6,900",+4.25%,"5,000","126,307","74,694",35.59,"524,572",22.35,8.16,
43,포스코퓨처엠,"137,600",800,-0.58%,500,"122,390","88,946",9.42,"110,727",-43.96,-7.98,
44,하이브,"284,500",500,-0.18%,500,"118,500","41,652",20.45,"52,353",212.47,0.31,
